wo_num,part_num,description,customer,qty_tbr,yield,mrb,scrap,due,process,timestamp
2948,D_161A2128-2.AA,"RETAINER, WASHER",STARLINE AEROSPACE LLC,2,23,0,0,25,"GEAR, TRANSMISSION",2024-09-17 5:04
2970,F_161A1216-2.AD,"WASHER-SPLINED, DRIVE LINK",PHOENIX AVIATION CORP.,0,12,0,0,37,"MODULE, CONNECTION",2024-09-17 5:04
2978,D_161A2113-1.AB,"CAP, END STOP",HORIZON ELECTRICAL SYSTEMS,0,41,0,0,0,"STUD, ALIGNMENT",2024-09-17 5:04
2979,D_161A2113-1.AB,"PLUG, END CAP",AURORA AIR SYSTEMS,4,37,0,0,13,"CAP, LOCK",2024-09-17 5:04
3077,F_1726644.-,"PIN, ROTOR SHAFT",COSMOS AERONAUTICS INC.,17,34,0,0,41,"PIN, ANCHOR",2024-09-17 5:04
3078,F_1719595.F,"STUD, ROTOR ALIGNMENT",VECTOR AEROSPACE LTD.,53,24,0,0,93,"SPACER, UPPER BRACE",2024-09-17 5:04
3122,F_725Z3394-45-999.NC,"TENSION BUMPER, SIZE 5",AURORA AIR SYSTEMS,0,52,0,0,27,"ROD, GUIDE",2024-09-17 5:04
3139,F_161A0102-3.AB,"WASHER, SUPPORT",ATLAS AIR COMPONENTS,0,82,0,0,85,"BEARING, SUPPORT",2024-09-17 5:04
3314,F_006-MDWG-000054.C,"DOME, UPPER MACHINING",SKYLINE AEROSPACE SP. Z O.O.,0,67,0,0,21,"SCREW, LOCKING",2024-09-17 5:04
3402,F_1009M6175C001.AA,"RING, LOCKING MECHANISM",NOVA AEROSPACE SYSTEMS,47,53,0,0,68,"RIVET, MOUNTING",2024-09-17 5:04
3444,F_161A1152-401.AJ,"TUBE, CHAMBER FLOW",VECTOR AEROSPACE LTD.,79,74,0,0,24,"PLUG, END CAP",2024-09-17 5:04
3525,F_162A1351-1.AB,"WASHER, RETENTION PLATE",STARLINE AEROSPACE LLC,32,10,0,0,25,"BRACE, STABILIZER",2024-09-17 5:04
3656,F_1720801.A,"SHAFT, GEAR DRIVE",COSMOS AERONAUTICS INC.,0,99,0,0,21,"COUPLER, SHAFT",2024-09-17 5:04
3730,D_B1316-06024.A000,"BEARING, PLATE MOUNT",SKYLINE AEROSPACE SP. Z O.O.,44,89,0,0,25,"WHEEL, TORSION",2024-09-17 5:04
3778,F_1009M6207C001.AA,"SHAFT, ROTOR ASSEMBLY",NEXUS AIRCRAFT SYSTEMS,70,100,0,0,85,"CONNECTOR, MAIN ASSY",2024-09-17 5:04
3788,F_161A1216-2.AD,"PLUG, ROTOR SEAL",VENTURE AEROSPACE GMBH,0,77,0,0,62,"CLAMP, RETENTION",2024-09-17 5:04
3800,F_1726366.-,"BEARING, LOWER SPINDLE",SKYWORKS SOLUTIONS,0,82,0,0,70,"LINK, CONTROL",2024-09-17 5:04
3840,F_162A1309-2.AA,"BRACKET, TORSION LINK",TERA TECHNOLOGIES LTD.,0,39,0,0,24,"FLANGE, SEALING",2024-09-17 5:04
3852,F_7006527.A,"NUT, BEARING SPACER",VECTOR AEROSPACE LTD.,0,75,0,0,49,"BRACKET, MOUNT",2024-09-17 5:04
3891,F_7003036.E,"WASHER-SPLINED, ALIGNMENT",NOVA AEROSPACE SYSTEMS,0,84,0,0,27,"GUIDE, SLIDE",2024-09-17 5:04
3954,F_12234.G,"HOUSING, BEARING COVER",AURORA AIR SYSTEMS,29,66,2,0,34,"CLIP, HOLDING",2024-09-17 5:04
3955,F_002-MDWG-000458.A,"WASHER, CONTROL FIXTURE",PHOENIX AVIATION CORP.,62,47,0,0,45,"BRUSH, CONTACT",2024-09-17 5:04
3958,F_161A1312-1.AA,"PLATE, ROTOR GUIDE",HORIZON ELECTRICAL SYSTEMS,0,27,0,0,43,"TUBE, EXTENSION",2024-09-17 5:04
3963,F_1720801.A,"SPRING, ROTOR STABILIZER",STARLINE AEROSPACE LLC,8,90,0,0,30,"SHIELD, PROTECTIVE",2024-09-17 5:04
3970,F_7003036.E,"BUSHING, LOWER MOUNT",ATLAS AIR COMPONENTS,0,15,0,0,27,"BUSHING, INTERLOCK",2024-09-17 5:04
3972,F_162A1352-2.AB,"AXLE, MAIN DRIVE",NOVA AEROSPACE SYSTEMS,0,0,0,0,41,"BOLT, TENSION",2024-09-17 5:04
3974,F_7006527.A,"PIN, ROTATION",SKYWORKS SOLUTIONS,47,52,0,0,68,"BRACE, LOWER SUPPORT",2024-09-17 5:04
3983,F_AEC755164D1M.A,"DISK, ROTOR",TERA TECHNOLOGIES LTD.,15,94,0,0,95,"HOOK, FASTENER",2024-09-17 5:04
4041,F_46186-1.AA,"SLEEVE, MAIN SPINDLE",PHOENIX AVIATION CORP.,0,40,0,0,31,"PIN, RETENTION",2024-09-17 5:04
4046,F_7007367.A,"BOLT, LOWER MOUNT",HORIZON ELECTRICAL SYSTEMS,0,54,0,0,89,"PLATE, LOCKING",2024-09-17 5:04
4049,F_725Z3394-38-998-Z03.NC_RWK,"SEAL, BEARING N.D.E.",STARLINE AEROSPACE LLC,60,86,0,0,91,"SCREW, TORSION",2024-09-17 5:04
4050,F_725Z3394-38-998-Z03.NC,"FRAME, MAIN INSPECTION UNIT",VENTURE AEROSPACE GMBH,91,11,0,0,99,"GASKET, FLUID SEAL",2024-09-17 5:04
4063,F_7003036.E,"CLIP, LOCK",SKYWORKS SOLUTIONS,34,77,0,0,23,"KNOB, ADJUSTMENT",2024-09-17 5:04
4078,F_12234.G,"WASHER-SPLINED, DRIVE LINK",ATLAS AIR COMPONENTS,96,2,0,0,90,"SPRING, RETURN",2024-09-17 5:04
4098,F_982R067999.J,"BRACKET, SUPPORT",TERA TECHNOLOGIES LTD.,0,16,0,0,63,"ROD, CONNECTOR",2024-09-17 5:04
4143,F_1719897.B,"ROD, ROTOR",NEXUS AIRCRAFT SYSTEMS,62,61,0,0,90,"PAD, CUSHION",2024-09-17 5:04
4155,D_81711430.1,"WASHER, FIXTURE",PHOENIX AVIATION CORP.,9,14,0,0,54,"STUD, RETAINER",2024-09-17 5:04
4209,F_162A1352-2.AB,"PANEL, MIDSECTION",VECTOR AEROSPACE LTD.,57,46,0,0,99,"FRAME, SECONDARY UNIT",2024-09-17 5:04
4255,F_002-MDWG-000427.A,OPERATIONS,COSMOS AERONAUTICS INC.,75,76,0,0,87,"BLADE, ROTARY",2024-09-17 5:04
4294,F_161A1162-1.AC,"GROMMET, BUFFER",SKYLINE AEROSPACE SP. Z O.O.,0,100,0,0,86,"CLAMP, ALIGNMENT",2024-09-17 5:04
4296,F_7003036.E,"RETAINER, WASHER",STARLINE AEROSPACE LLC,0,51,0,0,17,"RING, SEAL",2024-09-17 5:04
4346,F_12213.E_RWK,"WASHER-SPLINED, DRIVE LINK",PHOENIX AVIATION CORP.,82,98,0,0,72,"BEARING, ROTATION",2024-09-17 5:04
4347,F_12213.E,"CAP, END STOP",HORIZON ELECTRICAL SYSTEMS,0,79,0,0,40,"PANEL, SUPPORT",2024-09-17 5:04
4352,F_12234.G,"PLUG, END CAP",AURORA AIR SYSTEMS,0,21,0,0,39,"BUSHING, TENSION",2024-09-17 5:04
4466,F_81711412.02,"PIN, ROTOR SHAFT",COSMOS AERONAUTICS INC.,0,78,0,0,56,"HANDLE, LEVER",2024-09-17 5:04
4472,F_48121-1.AB,"STUD, ROTOR ALIGNMENT",VECTOR AEROSPACE LTD.,0,51,0,0,29,"SLEEVE, FASTENER",2024-09-17 5:04
4474,F_7003036.E,"TENSION BUMPER, SIZE 6",AURORA AIR SYSTEMS,47,15,0,0,55,"PLATE, MOUNTING",2024-09-17 5:04
4491,F_1009M6212C001.AE,"WASHER, SUPPORT",ATLAS AIR COMPONENTS,17,20,0,0,3,"RETAINER, SPRING",2024-09-17 5:04
4515,F_7003036.E,"DOME, UPPER MACHINING",SKYLINE AEROSPACE SP. Z O.O.,0,37,0,0,63,"TUBE, FLOW CONTROL",2024-09-17 5:04
4523,F_162A1309-2.AA,"RING, LOCKING MECHANISM",NOVA AEROSPACE SYSTEMS,0,16,0,0,32,"PIN, LOCKING",2024-09-17 5:04
4524,F_1719897.B,"TUBE, CHAMBER FLOW",VECTOR AEROSPACE LTD.,75,27,0,0,97,"ARM, STABILIZER",2024-09-17 5:04
4533,F_829592-1.B_RWK,"WASHER, RETENTION PLATE",STARLINE AEROSPACE LLC,0,28,0,0,41,"CONNECTOR, LINK",2024-09-17 5:04
4534,F_829592-1.B,"SHAFT, GEAR DRIVE",COSMOS AERONAUTICS INC.,96,22,0,0,4,"CLAMP, PRESSURE",2024-09-17 5:04
4565,F_829592-1.B,"BEARING, PLATE MOUNT",SKYLINE AEROSPACE SP. Z O.O.,74,70,0,0,85,"COVER, MAIN ASSEMBLY",2024-09-17 5:04
4566,D_46877-103.AB,"SHAFT, ROTOR ASSEMBLY",NEXUS AIRCRAFT SYSTEMS,0,59,0,0,7,"CORE, STATOR",2024-09-17 5:04
4578,F_ADC73220Y5D2.NC,"PLUG, ROTOR SEAL",VENTURE AEROSPACE GMBH,28,69,0,0,67,"BOLT, UPPER ARM",2024-09-17 5:04
4583,F_5459-21-2.A,"BEARING, LOWER SPINDLE",SKYWORKS SOLUTIONS,87,77,0,0,12,"GASKET, SEAL N.E.S.",2024-09-17 5:04
4626,F_1719897.B,"BRACKET, TORSION LINK",TERA TECHNOLOGIES LTD.,62,10,0,0,18,"FRAME, PRIMARY INSP UNIT",2024-09-17 5:04
4632,F_829592-1.B_RWK,"NUT, BEARING SPACER",VECTOR AEROSPACE LTD.,0,24,0,0,26,"CLIP, RETENTION",2024-09-17 5:04
4669,F_001-MDWG-000582.A,"WASHER-SPLINED, ALIGNMENT",NOVA AEROSPACE SYSTEMS,0,69,0,0,24,"DISK, ROTATION",2024-09-17 5:04
4675,F_161W1217-1.NC,"HOUSING, BEARING COVER",AURORA AIR SYSTEMS,80,83,0,0,0,"RING, FASTENER",2024-09-17 5:04
4678,F_1719897.B,"WASHER, CONTROL FIXTURE",PHOENIX AVIATION CORP.,19,19,0,0,1,"BRACKET, SUPPORT",2024-09-17 5:04
4699,F_33A105-004.A,"PLATE, ROTOR GUIDE",HORIZON ELECTRICAL SYSTEMS,50,35,0,0,71,"PIN, ALIGNMENT",2024-09-17 5:04
4728,F_33A101-003.-,"SPRING, ROTOR STABILIZER",STARLINE AEROSPACE LLC,57,49,0,0,91,"PLATE, MIDSECTION",2024-09-17 5:04
4734,F_12213.E_RWK,"BUSHING, LOWER MOUNT",ATLAS AIR COMPONENTS,39,68,0,0,79,TASKS,2024-09-17 5:04
4739,F_12213.E,"AXLE, MAIN DRIVE",NOVA AEROSPACE SYSTEMS,0,23,0,0,82,"GROMMET, BUFFER",2024-09-17 5:04
4743,F_1009M6154C001.AB_RWK,"PIN, ROTATION",SKYWORKS SOLUTIONS,0,81,0,0,67,"SEAL, CUSHION",2024-09-17 5:04
4744,F_1009M6154C001.AB,"DISK, ROTOR",TERA TECHNOLOGIES LTD.,74,89,0,0,66,"CLIP, FIXTURE",2024-09-17 5:04
4747,F_1013-016-302-0.A,"SLEEVE, MAIN SPINDLE",PHOENIX AVIATION CORP.,72,41,0,0,66,"COVER, ASSEMBLY",2024-09-17 5:04
4748,F_7006527.A,"BOLT, LOWER MOUNT",HORIZON ELECTRICAL SYSTEMS,0,87,0,0,6,"GEAR, TRANSMISSION",2024-09-17 5:04
4749,F_1009M6444C001.AA,"SEAL, BEARING N.D.E.",STARLINE AEROSPACE LLC,0,29,0,0,14,"MODULE, CONNECTION",2024-09-17 5:04
4758,F_1009M6436C001.AA_RWK,"FRAME, MAIN INSPECTION UNIT",VENTURE AEROSPACE GMBH,0,79,0,0,21,"STUD, ALIGNMENT",2024-09-17 5:04
4759,F_1009M6436C001.AA,"CLIP, LOCK",SKYWORKS SOLUTIONS,0,5,0,0,73,"CAP, LOCK",2024-09-17 5:04
4760,F_1009M6347C001.AE_RWK,"WASHER-SPLINED, DRIVE LINK",ATLAS AIR COMPONENTS,99,33,0,0,64,"PIN, ANCHOR",2024-09-17 5:04
4761,F_1009M6347C001.AE,"BRACKET, SUPPORT",TERA TECHNOLOGIES LTD.,0,65,0,0,53,"SPACER, UPPER BRACE",2024-09-17 5:04
4812,F_SKYTWO-008.NC,"ROD, ROTOR",NEXUS AIRCRAFT SYSTEMS,82,23,0,0,83,"ROD, GUIDE",2024-09-17 5:04
4825,F_1719595.F_RWK,"WASHER, FIXTURE",PHOENIX AVIATION CORP.,0,56,0,0,20,"BEARING, SUPPORT",2024-09-17 5:04
4836,F_162U2614-1.AB,"PANEL, MIDSECTION",VECTOR AEROSPACE LTD.,35,16,0,0,67,"SCREW, LOCKING",2024-09-17 5:04
4847,F_ADC46816D2.B_RWK,OPERATIONS,COSMOS AERONAUTICS INC.,0,59,0,0,76,"RIVET, MOUNTING",2024-09-17 5:04
4848,F_ADC46816D2.B,"GROMMET, BUFFER",SKYLINE AEROSPACE SP. Z O.O.,96,25,0,0,47,"PLUG, END CAP",2024-09-17 5:04
4865,F_SA226347.B,"RETAINER, WASHER",STARLINE AEROSPACE LLC,18,31,0,0,51,"BRACE, STABILIZER",2024-09-17 5:04
4867,F_81711412.02,"WASHER-SPLINED, DRIVE LINK",PHOENIX AVIATION CORP.,0,82,0,0,67,"COUPLER, SHAFT",2024-09-17 5:04
4880,F_ADC44112D211.NC,"CAP, END STOP",HORIZON ELECTRICAL SYSTEMS,100,74,0,0,7,"WHEEL, TORSION",2024-09-17 5:04
4886,F_1725732.-,"PLUG, END CAP",AURORA AIR SYSTEMS,70,47,0,0,49,"CONNECTOR, MAIN ASSY",2024-09-17 5:04
4888,D_2143A6276-102.AA,"PIN, ROTOR SHAFT",COSMOS AERONAUTICS INC.,0,74,0,0,88,"CLAMP, RETENTION",2024-09-17 5:04
4894,D_001-TDWG-001106_01.B,"STUD, ROTOR ALIGNMENT",VECTOR AEROSPACE LTD.,12,27,0,0,94,"LINK, CONTROL",2024-09-17 5:04
4924,F_51411-1.AC,"TENSION BUMPER, SIZE 7",AURORA AIR SYSTEMS,0,81,0,0,50,"FLANGE, SEALING",2024-09-17 5:04
4926,F_1725730.A,"WASHER, SUPPORT",ATLAS AIR COMPONENTS,16,18,0,0,33,"BRACKET, MOUNT",2024-09-17 5:04
4928,F_1801-92502-815.-,"DOME, UPPER MACHINING",SKYLINE AEROSPACE SP. Z O.O.,16,8,0,0,64,"GUIDE, SLIDE",2024-09-17 5:04
4929,F_12214.H_RWK,"RING, LOCKING MECHANISM",NOVA AEROSPACE SYSTEMS,47,39,0,0,10,"CLIP, HOLDING",2024-09-17 5:04
4930,F_12214.H,"TUBE, CHAMBER FLOW",VECTOR AEROSPACE LTD.,93,86,0,0,57,"BRUSH, CONTACT",2024-09-17 5:04
4935,F_1801-92502-805.-,"WASHER, RETENTION PLATE",STARLINE AEROSPACE LLC,66,15,0,0,15,"TUBE, EXTENSION",2024-09-17 5:04
4946,F_002-MDWG-000764.B,"SHAFT, GEAR DRIVE",COSMOS AERONAUTICS INC.,0,68,0,0,33,"SHIELD, PROTECTIVE",2024-09-17 5:04
4951,F_002-MDWG-000764.B,"BEARING, PLATE MOUNT",SKYLINE AEROSPACE SP. Z O.O.,85,95,0,0,63,"BUSHING, INTERLOCK",2024-09-17 5:04
4957,D_B1316-05676.A000,"SHAFT, ROTOR ASSEMBLY",NEXUS AIRCRAFT SYSTEMS,0,28,0,0,15,"BOLT, TENSION",2024-09-17 5:04
4958,F_B1316-05677.A000,"PLUG, ROTOR SEAL",VENTURE AEROSPACE GMBH,0,33,0,0,9,"BRACE, LOWER SUPPORT",2024-09-17 5:04
4960,D_1159LM20653-11.G,"BEARING, LOWER SPINDLE",SKYWORKS SOLUTIONS,0,77,0,0,50,"HOOK, FASTENER",2024-09-17 5:04
4961,F_161T1185-7.AB,"BRACKET, TORSION LINK",TERA TECHNOLOGIES LTD.,0,90,0,0,69,"PIN, RETENTION",2024-09-17 5:04
4966,F_AEC755164D1M.A,"NUT, BEARING SPACER",VECTOR AEROSPACE LTD.,0,8,0,0,19,"PLATE, LOCKING",2024-09-17 5:04
4968,F_7006527.A,"WASHER-SPLINED, ALIGNMENT",NOVA AEROSPACE SYSTEMS,50,80,0,0,10,"SCREW, TORSION",2024-09-17 5:04
4994,F_1801-92502-817.-,"HOUSING, BEARING COVER",AURORA AIR SYSTEMS,69,20,0,0,17,"GASKET, FLUID SEAL",2024-09-17 5:04
4997,F_010817.B,"WASHER, CONTROL FIXTURE",PHOENIX AVIATION CORP.,0,69,0,0,20,"KNOB, ADJUSTMENT",2024-09-17 5:04
4998,F_010818.B,"PLATE, ROTOR GUIDE",HORIZON ELECTRICAL SYSTEMS,49,80,0,0,18,"SPRING, RETURN",2024-09-17 5:04
5115,F_ADC73220Y5D2.A,"SPRING, ROTOR STABILIZER",STARLINE AEROSPACE LLC,2,77,0,0,70,"ROD, CONNECTOR",2024-09-17 5:04
5124,F_010817.B,"BUSHING, LOWER MOUNT",ATLAS AIR COMPONENTS,0,99,0,0,50,"PAD, CUSHION",2024-09-17 5:04
5125,F_010818.B,"AXLE, MAIN DRIVE",NOVA AEROSPACE SYSTEMS,0,55,0,0,58,"STUD, RETAINER",2024-09-17 5:04
5126,F_010819.B,"PIN, ROTATION",SKYWORKS SOLUTIONS,70,23,0,0,31,"FRAME, SECONDARY UNIT",2024-09-17 5:04
5138,F_1801-92502-807.-,"DISK, ROTOR",TERA TECHNOLOGIES LTD.,0,49,0,0,76,"BLADE, ROTARY",2024-09-17 5:04
5140,F_1801-92502-813.-,"SLEEVE, MAIN SPINDLE",PHOENIX AVIATION CORP.,0,100,0,0,7,"CLAMP, ALIGNMENT",2024-09-17 5:04
5156,F_81711412.02_RWK,"BOLT, LOWER MOUNT",HORIZON ELECTRICAL SYSTEMS,0,37,0,0,61,"RING, SEAL",2024-09-17 5:04
5157,F_81711412.02,"SEAL, BEARING N.D.E.",STARLINE AEROSPACE LLC,79,73,0,0,32,"BEARING, ROTATION",2024-09-17 5:04
5161,F_1009M6347C001.AE,"FRAME, MAIN INSPECTION UNIT",VENTURE AEROSPACE GMBH,36,69,0,2,95,"PANEL, SUPPORT",2024-09-17 5:04
5241,D_1006M3207C001.AG,"CLIP, LOCK",SKYWORKS SOLUTIONS,0,47,0,0,98,"BUSHING, TENSION",2024-09-17 5:04
5242,F_1013-012-501-0.C,"WASHER-SPLINED, DRIVE LINK",ATLAS AIR COMPONENTS,7,8,0,0,69,"HANDLE, LEVER",2024-09-17 5:04
5268,F_982R067999.J,"BRACKET, SUPPORT",TERA TECHNOLOGIES LTD.,7,32,0,0,88,"SLEEVE, FASTENER",2024-09-17 5:04
5386,F_01141861-001.05,"ROD, ROTOR",NEXUS AIRCRAFT SYSTEMS,35,19,0,0,7,"PLATE, MOUNTING",2024-09-17 5:04
5403,F_1726367.-,"WASHER, FIXTURE",PHOENIX AVIATION CORP.,0,21,0,0,49,"RETAINER, SPRING",2024-09-17 5:04
5404,F_01141871-001.05,"PANEL, MIDSECTION",VECTOR AEROSPACE LTD.,0,96,0,0,73,"TUBE, FLOW CONTROL",2024-09-17 5:04
5435,D_B1316-05134.B000,OPERATIONS,COSMOS AERONAUTICS INC.,1,6,0,0,70,"PIN, LOCKING",2024-09-17 5:04
5436,F_01140681-003.04,"GROMMET, BUFFER",SKYLINE AEROSPACE SP. Z O.O.,81,74,0,0,76,"ARM, STABILIZER",2024-09-17 5:04
5445,F_M180-20H251-103.C3,"RETAINER, WASHER",STARLINE AEROSPACE LLC,23,48,0,0,47,"CONNECTOR, LINK",2024-09-17 5:04
5462,F_721Z3394-55.A,"WASHER-SPLINED, DRIVE LINK",PHOENIX AVIATION CORP.,0,86,0,0,79,"CLAMP, PRESSURE",2024-09-17 5:04
5495,F_33A105-004.A,"CAP, END STOP",HORIZON ELECTRICAL SYSTEMS,0,30,0,0,39,"COVER, MAIN ASSEMBLY",2024-09-17 5:04
5520,F_1719595.F,"PLUG, END CAP",AURORA AIR SYSTEMS,51,1,0,0,79,"CORE, STATOR",2024-09-17 5:04
5521,F_002-MDWG-000764.B,"PIN, ROTOR SHAFT",COSMOS AERONAUTICS INC.,26,25,0,0,52,"BOLT, UPPER ARM",2024-09-17 5:04
5551,F_218819.-,"STUD, ROTOR ALIGNMENT",VECTOR AEROSPACE LTD.,0,82,0,0,33,"GASKET, SEAL N.E.S.",2024-09-17 5:04
5601,F_81207681.5_RWK,"TENSION BUMPER, SIZE 8",AURORA AIR SYSTEMS,50,44,0,0,9,"FRAME, PRIMARY INSP UNIT",2024-09-17 5:04
5602,F_81207681.5,"WASHER, SUPPORT",ATLAS AIR COMPONENTS,0,41,0,0,30,"CLIP, RETENTION",2024-09-17 5:04
5607,F_01141802-007.04,"DOME, UPPER MACHINING",SKYLINE AEROSPACE SP. Z O.O.,49,98,0,0,67,"DISK, ROTATION",2024-09-17 5:04
5629,F_ADC757163D2.-_RWK,"RING, LOCKING MECHANISM",NOVA AEROSPACE SYSTEMS,29,0,0,0,48,"RING, FASTENER",2024-09-17 5:04
5651,F_01141861-001.07,"TUBE, CHAMBER FLOW",VECTOR AEROSPACE LTD.,29,24,0,0,28,"BRACKET, SUPPORT",2024-09-17 5:04
5664,F_982R067999.J,"WASHER, RETENTION PLATE",STARLINE AEROSPACE LLC,0,54,0,0,89,"PIN, ALIGNMENT",2024-09-17 5:04
5671,F_161W1022-1.A,"SHAFT, GEAR DRIVE",COSMOS AERONAUTICS INC.,0,28,0,0,21,"PLATE, MIDSECTION",2024-09-17 5:04
5674,F_981R312.C,"BEARING, PLATE MOUNT",SKYLINE AEROSPACE SP. Z O.O.,92,90,0,0,0,TASKS,2024-09-17 5:04
5695,F_1726363.A,"SHAFT, ROTOR ASSEMBLY",NEXUS AIRCRAFT SYSTEMS,0,44,0,0,36,"GROMMET, BUFFER",2024-09-17 5:04
5716,F_01141825-502.01,"PLUG, ROTOR SEAL",VENTURE AEROSPACE GMBH,0,9,0,0,47,"SEAL, CUSHION",2024-09-17 5:04
5740,F_219075.C,"BEARING, LOWER SPINDLE",SKYWORKS SOLUTIONS,0,2,0,0,3,"CLIP, FIXTURE",2024-09-17 5:04
5741,F_01141861-001.07,"BRACKET, TORSION LINK",TERA TECHNOLOGIES LTD.,41,89,0,0,84,"COVER, ASSEMBLY",2024-09-17 5:04
5766,D_B1316-06025.A000_RWK,"NUT, BEARING SPACER",VECTOR AEROSPACE LTD.,50,6,0,0,86,"GEAR, TRANSMISSION",2024-09-17 5:04
5767,D_B1316-06025.A000,"WASHER-SPLINED, ALIGNMENT",NOVA AEROSPACE SYSTEMS,39,92,0,0,25,"MODULE, CONNECTION",2024-09-17 5:04
5777,D_B1316-05131.B000_RWK,"HOUSING, BEARING COVER",AURORA AIR SYSTEMS,98,48,0,0,68,"STUD, ALIGNMENT",2024-09-17 5:04
5778,D_B1316-05131.B000,"WASHER, CONTROL FIXTURE",PHOENIX AVIATION CORP.,77,81,0,0,15,"CAP, LOCK",2024-09-17 5:04
5782,F_01141815-020.06,"PLATE, ROTOR GUIDE",HORIZON ELECTRICAL SYSTEMS,80,16,0,0,96,"PIN, ANCHOR",2024-09-17 5:04
5811,F_01342002-001M10.02,"SPRING, ROTOR STABILIZER",STARLINE AEROSPACE LLC,97,29,0,0,20,"SPACER, UPPER BRACE",2024-09-17 5:04
5812,F_01342002-001.02,"BUSHING, LOWER MOUNT",ATLAS AIR COMPONENTS,74,13,0,0,57,"ROD, GUIDE",2024-09-17 5:04
5821,F_M176-04H309-102.A,"AXLE, MAIN DRIVE",NOVA AEROSPACE SYSTEMS,24,4,0,0,22,"BEARING, SUPPORT",2024-09-17 5:04
5822,D_721Z1532-105.NC,"PIN, ROTATION",SKYWORKS SOLUTIONS,24,73,0,0,58,"SCREW, LOCKING",2024-09-17 5:04
5824,F_01342012-001.01,"DISK, ROTOR",TERA TECHNOLOGIES LTD.,99,57,0,0,23,"RIVET, MOUNTING",2024-09-17 5:04
5842,F_003-MDWG-000071.C,"SLEEVE, MAIN SPINDLE",PHOENIX AVIATION CORP.,42,18,0,0,16,"PLUG, END CAP",2024-09-17 5:04
5858,F_982R067999.J,"BOLT, LOWER MOUNT",HORIZON ELECTRICAL SYSTEMS,0,94,0,0,68,"BRACE, STABILIZER",2024-09-17 5:04
5880,F_982R067999.J,"SEAL, BEARING N.D.E.",STARLINE AEROSPACE LLC,0,35,0,0,32,"COUPLER, SHAFT",2024-09-17 5:04
5885,F_7003036.E_RWK,"FRAME, MAIN INSPECTION UNIT",VENTURE AEROSPACE GMBH,0,46,0,0,76,"WHEEL, TORSION",2024-09-17 5:04
5886,F_7003036.E,"CLIP, LOCK",SKYWORKS SOLUTIONS,37,10,0,0,22,"CONNECTOR, MAIN ASSY",2024-09-17 5:04
5895,F_68A412711-1001.A,"WASHER-SPLINED, DRIVE LINK",ATLAS AIR COMPONENTS,27,98,0,0,79,"CLAMP, RETENTION",2024-09-17 5:04
5908,F_01365720-003.02,"BRACKET, SUPPORT",TERA TECHNOLOGIES LTD.,0,74,0,0,16,"LINK, CONTROL",2024-09-17 5:04
5919,F_01141825-502.01,"ROD, ROTOR",NEXUS AIRCRAFT SYSTEMS,0,92,0,0,14,"FLANGE, SEALING",2024-09-17 5:04
