wo_num,in_quality,part_num,description,qty,date,progress,mrb,mrb_qty,mrb_date,timestamp
3139,2,F_01340377-002.03,"WASHER, SUPPORT",20,2019-10-07,11-Apr,FALSE,0,N/A,2024-09-19 7:14
3314,2,F_003-MDWG-000071.C,"DOME, UPPER MACHINING",1,2021-08-04,13-Dec,FALSE,0,N/A,2024-09-19 7:14
3402,0,F_01385055-526.05,"RING, LOCKING MECHANISM",N/A,N/A,N/A,FALSE,0,N/A,2024-09-19 7:14
3444,0,F_001-MDWG-000582.A,"TUBE, CHAMBER FLOW",N/A,N/A,N/A,FALSE,0,N/A,2024-09-19 7:14
3525,0,F_01141825-506.01,"WASHER, RETENTION PLATE",N/A,N/A,N/A,TRUE,4,12/10/2019 12:21:15,2024-09-19 7:14
3656,0,F_01600018-570.01,"SHAFT, GEAR DRIVE",N/A,N/A,N/A,TRUE,2,02/25/2020 14:38:52,2024-09-19 7:14
3730,1,F_11234402-001-NPI.01,"BEARING, PLATE MOUNT",14,2021-03-31,15/20,FALSE,0,N/A,2024-09-19 7:14
3778,0,F_01141825-502.03,"SHAFT, ROTOR ASSEMBLY",N/A,N/A,N/A,FALSE,0,N/A,2024-09-19 7:14
3788,2,F_001-MDWG-000582.A,"PLUG, ROTOR SEAL",1,2024-07-23,18/19,FALSE,0,N/A,2024-09-19 7:14
3800,0,D_B1316-06035.B000,"BEARING, LOWER SPINDLE",N/A,N/A,N/A,FALSE,0,N/A,2024-09-19 7:14
3840,1,F_002-MDWG-000764.B,"BRACKET, TORSION LINK",2,2021-02-28,11-Apr,TRUE,2,01/04/2022 14:12:31,2024-09-19 7:14
3852,0,F_B1316-08475.A000,"NUT, BEARING SPACER",N/A,N/A,N/A,TRUE,5,10/04/2022 14:17:37,2024-09-19 7:14
3891,0,F_B1316-08475.A000,"WASHER-SPLINED, ALIGNMENT",N/A,N/A,N/A,TRUE,2,06/01/2020 11:36:48,2024-09-19 7:14
3954,0,F_AEC755164D1M.A_RWK,"HOUSING, BEARING COVER",N/A,N/A,N/A,TRUE,2,02/18/2020 07:34:33,2024-09-19 7:14
3955,2,F_01241871-001.06,"WASHER, CONTROL FIXTURE",8,2020-02-03,13-Aug,FALSE,0,N/A,2024-09-19 7:14
3958,1,F_11234401-001-NPI.01,"PLATE, ROTOR GUIDE",1,2022-10-23,12-Jul,TRUE,1,06/02/2022 09:44:40,2024-09-19 7:14
3963,0,F_01732800-002-NPI.02,"SPRING, ROTOR STABILIZER",N/A,N/A,N/A,FALSE,0,N/A,2024-09-19 7:14
3970,0,F_003-MDWG-000065.A,"BUSHING, LOWER MOUNT",N/A,N/A,N/A,TRUE,3,06/01/2020 11:34:06,2024-09-19 7:14
3972,0,F_01340681-001.04,"AXLE, MAIN DRIVE",N/A,N/A,N/A,FALSE,0,N/A,2024-09-19 7:14
3974,0,F_001-MDWG-000579.D,"PIN, ROTATION",N/A,N/A,N/A,TRUE,1,10/20/2022 16:51:16,2024-09-19 7:14
3983,0,F_01340368-043.04,"DISK, ROTOR",N/A,N/A,N/A,TRUE,1,05/01/2020 16:21:02,2024-09-19 7:14
4041,0,F_982R067999.J,"SLEEVE, MAIN SPINDLE",N/A,N/A,N/A,FALSE,0,N/A,2024-09-19 7:14
4046,0,F_01241861-001.05,"BOLT, LOWER MOUNT",N/A,N/A,N/A,FALSE,0,N/A,2024-09-19 7:14
4049,0,F_01241861-001.05,"SEAL, BEARING N.D.E.",N/A,N/A,N/A,FALSE,0,N/A,2024-09-19 7:14
4050,0,F_01141825-502.03_RWK,"FRAME, MAIN INSPECTION UNIT",N/A,N/A,N/A,FALSE,0,N/A,2024-09-19 7:14
4063,2,F_Y45973A-00.03,"CLIP, LOCK",2,2022-02-01,29/30,FALSE,0,N/A,2024-09-19 7:14
4078,0,F_01340362-112.01,"WASHER-SPLINED, DRIVE LINK",N/A,N/A,N/A,FALSE,0,N/A,2024-09-19 7:14
4098,0,F_001-MDWG-000587.A,"BRACKET, SUPPORT",N/A,N/A,N/A,FALSE,0,N/A,2024-09-19 7:14
4143,0,F_002-MDWG-000461.A,"ROD, ROTOR",N/A,N/A,N/A,TRUE,1,06/02/2021 10:04:13,2024-09-19 7:14
4155,0,F_01340681-001.04,"WASHER, FIXTURE",N/A,N/A,N/A,FALSE,0,N/A,2024-09-19 7:14
4209,0,F_1725732.-,"PANEL, MIDSECTION",N/A,N/A,N/A,FALSE,0,N/A,2024-09-19 7:14
4255,0,F_721Z3394-51.B,OPERATIONS,N/A,N/A,N/A,FALSE,0,N/A,2024-09-19 7:14
4294,0,F_721Z3394-53.B,"GROMMET, BUFFER",N/A,N/A,N/A,FALSE,0,N/A,2024-09-19 7:14
4296,0,D_1003M3803C001.C,"RETAINER, WASHER",N/A,N/A,N/A,FALSE,0,N/A,2024-09-19 7:14
4346,0,F_002-MDWG-000461.A,"WASHER-SPLINED, DRIVE LINK",N/A,N/A,N/A,FALSE,0,N/A,2024-09-19 7:14
4347,0,F_04P512839-7.A000,"CAP, END STOP",N/A,N/A,N/A,FALSE,0,N/A,2024-09-19 7:14
4352,1,F_04P513455-7.A000,"PLUG, END CAP",2,2021-07-18,17-Dec,FALSE,0,N/A,2024-09-19 7:14
4466,0,F_08P517835-7.A000,"PIN, ROTOR SHAFT",N/A,N/A,N/A,TRUE,1,10/19/2021 10:03:33,2024-09-19 7:14
4472,0,F_B1316-06022.C000,"STUD, ROTOR ALIGNMENT",N/A,N/A,N/A,FALSE,0,N/A,2024-09-19 7:14
4474,0,D_B1316-05131.B000_RWK,"TENSION BUMPER, SIZE 6",N/A,N/A,N/A,TRUE,1,07/08/2020 12:31:45,2024-09-19 7:14
4491,2,F_002-MDWG-000845.A,"WASHER, SUPPORT",1,2022-03-15,19/20,FALSE,0,N/A,2024-09-19 7:14
4515,0,F_002-MDWG-000845.A,"DOME, UPPER MACHINING",N/A,N/A,N/A,TRUE,1,07/08/2020 12:32:05,2024-09-19 7:14
4523,0,F_01600018-570.01_RWK,"RING, LOCKING MECHANISM",N/A,N/A,N/A,FALSE,0,N/A,2024-09-19 7:14
4524,0,F_7003036.E,"TUBE, CHAMBER FLOW",N/A,N/A,N/A,TRUE,1,04/03/2020 16:03:01,2024-09-19 7:14
4533,0,F_01140368-018.04,"WASHER, RETENTION PLATE",N/A,N/A,N/A,TRUE,7,04/30/2020 11:35:05,2024-09-19 7:14
4534,0,F_161A1212-7.AC_RWK,"SHAFT, GEAR DRIVE",N/A,N/A,N/A,TRUE,7,04/27/2020 15:34:23,2024-09-19 7:14
4565,0,F_Y39183A-00.01,"BEARING, PLATE MOUNT",N/A,N/A,N/A,TRUE,1,11/25/2020 14:16:46,2024-09-19 7:14
4566,0,F_01365720-006.04,"SHAFT, ROTOR ASSEMBLY",N/A,N/A,N/A,TRUE,23,08/26/2020 15:42:00,2024-09-19 7:14
4578,0,F_002-MDWG-000845.A,"PLUG, ROTOR SEAL",N/A,N/A,N/A,FALSE,0,N/A,2024-09-19 7:14
4583,0,F_721Z3394-53.B,"BEARING, LOWER SPINDLE",N/A,N/A,N/A,FALSE,0,N/A,2024-09-19 7:14
4626,1,F_220075.-,"BRACKET, TORSION LINK",5,2020-06-10,15/33,FALSE,0,N/A,2024-09-19 7:14
4632,0,F_01340361-104.04,"NUT, BEARING SPACER",N/A,N/A,N/A,TRUE,1,04/23/2020 14:17:34,2024-09-19 7:14
4669,0,F_01340364-112.03,"WASHER-SPLINED, ALIGNMENT",N/A,N/A,N/A,TRUE,1,06/11/2020 15:30:44,2024-09-19 7:14
4675,0,F_Y57947A-00.01,"HOUSING, BEARING COVER",N/A,N/A,N/A,FALSE,0,N/A,2024-09-19 7:14
4678,1,F_Y34427A-00.02,"WASHER, CONTROL FIXTURE",2,2022-08-14,15/27,FALSE,0,N/A,2024-09-19 7:14
4699,0,F_ADC73220Y5D2.A,"PLATE, ROTOR GUIDE",N/A,N/A,N/A,TRUE,1,05/05/2020 16:06:14,2024-09-19 7:14
4728,0,F_982R067999.J,"SPRING, ROTOR STABILIZER",N/A,N/A,N/A,TRUE,2,07/22/2021 13:23:38,2024-09-19 7:14
4734,0,D_T-8669-3020-20.A,"BUSHING, LOWER MOUNT",N/A,N/A,N/A,FALSE,0,N/A,2024-09-19 7:14
4739,0,F_ADC44112D211.NC,"AXLE, MAIN DRIVE",N/A,N/A,N/A,FALSE,0,N/A,2024-09-19 7:14
4743,0,F_01241802-003.04,"PIN, ROTATION",N/A,N/A,N/A,FALSE,0,N/A,2024-09-19 7:14
4744,0,F_01241880-102.02,"DISK, ROTOR",N/A,N/A,N/A,FALSE,0,N/A,2024-09-19 7:14
4747,2,F_01241870-104.03,"SLEEVE, MAIN SPINDLE",1,2020-05-12,12-Nov,FALSE,0,N/A,2024-09-19 7:14
4748,0,F_219327.B,"BOLT, LOWER MOUNT",N/A,N/A,N/A,TRUE,1,01/21/2021 07:00:59,2024-09-19 7:14
4749,0,F_006-MDWG-000054.C_RWK,"SEAL, BEARING N.D.E.",N/A,N/A,N/A,TRUE,1,11/29/2021 07:51:12,2024-09-19 7:14
4758,2,F_Y46121A-00.01,"FRAME, MAIN INSPECTION UNIT",2,No Completion Confirmation,07-Apr,FALSE,0,N/A,2024-09-19 7:14
4759,0,F_982R067999.J,"CLIP, LOCK",N/A,N/A,N/A,FALSE,0,N/A,2024-09-19 7:14
4760,2,F_01385055-531.03,"WASHER-SPLINED, DRIVE LINK",1,No Completion Confirmation,06-Mar,FALSE,0,N/A,2024-09-19 7:14
4761,0,F_002-MDWG-000464-COS.A,"BRACKET, SUPPORT",N/A,N/A,N/A,FALSE,0,N/A,2024-09-19 7:14
4812,0,F_68A412711-1001.C,"ROD, ROTOR",N/A,N/A,N/A,FALSE,0,N/A,2024-09-19 7:14
4825,2,F_272W6160-106.B,"WASHER, FIXTURE",2,2020-08-20,14-Aug,FALSE,0,N/A,2024-09-19 7:14
4836,0,F_01732800-002-NPI.02_RWK,"PANEL, MIDSECTION",N/A,N/A,N/A,TRUE,1,06/29/2020 13:48:23,2024-09-19 7:14
4847,0,F_982R067999.J,OPERATIONS,N/A,N/A,N/A,FALSE,0,N/A,2024-09-19 7:14
4848,0,D_Y36348A-00.01,"GROMMET, BUFFER",N/A,N/A,N/A,FALSE,0,N/A,2024-09-19 7:14
4865,0,D_Y40121A-00.01,"RETAINER, WASHER",N/A,N/A,N/A,FALSE,0,N/A,2024-09-19 7:14
4867,0,D_Y40105A-00.01,"WASHER-SPLINED, DRIVE LINK",N/A,N/A,N/A,FALSE,0,N/A,2024-09-19 7:14
4880,0,F_01600050-005.07,"CAP, END STOP",N/A,N/A,N/A,FALSE,0,N/A,2024-09-19 7:14
4886,0,F_01600050-005.07,"PLUG, END CAP",N/A,N/A,N/A,FALSE,0,N/A,2024-09-19 7:14
4888,2,F_01385055-526.06,"PIN, ROTOR SHAFT",3,No Completion Confirmation,16/19,FALSE,0,N/A,2024-09-19 7:14
4894,2,F_01385055-526.06,"STUD, ROTOR ALIGNMENT",3,No Completion Confirmation,10-Sep,FALSE,0,N/A,2024-09-19 7:14
4924,0,F_ADC757163D2.-,"TENSION BUMPER, SIZE 7",N/A,N/A,N/A,FALSE,0,N/A,2024-09-19 7:14
4926,0,F_C2M4602CA002.A,"WASHER, SUPPORT",N/A,N/A,N/A,TRUE,1,07/09/2021 11:21:46,2024-09-19 7:14
4928,0,F_002-MDWG-000845.A,"DOME, UPPER MACHINING",N/A,N/A,N/A,FALSE,0,N/A,2024-09-19 7:14
4929,2,F_01763873-001.02,"RING, LOCKING MECHANISM",9,No Completion Confirmation,11-Jun,FALSE,0,N/A,2024-09-19 7:14
4930,0,F_01600050-005.07,"TUBE, CHAMBER FLOW",N/A,N/A,N/A,FALSE,0,N/A,2024-09-19 7:14
4935,0,F_7003036.E,"WASHER, RETENTION PLATE",N/A,N/A,N/A,FALSE,0,N/A,2024-09-19 7:14
4946,2,F_6653-1332-20.A,"SHAFT, GEAR DRIVE",1,2020-08-24,17-Dec,FALSE,0,N/A,2024-09-19 7:14
4951,0,F_6653-1333-20.A,"BEARING, PLATE MOUNT",N/A,N/A,N/A,TRUE,2,02/23/2021 14:18:40,2024-09-19 7:14
4957,0,F_001-MDWG-000582.A,"SHAFT, ROTOR ASSEMBLY",N/A,N/A,N/A,FALSE,0,N/A,2024-09-19 7:14
4958,0,F_001-MDWG-000589.A,"PLUG, ROTOR SEAL",N/A,N/A,N/A,FALSE,0,N/A,2024-09-19 7:14
4960,0,F_04P513455-7.A000,"BEARING, LOWER SPINDLE",N/A,N/A,N/A,FALSE,0,N/A,2024-09-19 7:14
4961,0,F_08P517835-7.A000,"BRACKET, TORSION LINK",N/A,N/A,N/A,FALSE,0,N/A,2024-09-19 7:14
4966,0,D_1117-2244-00..,"NUT, BEARING SPACER",N/A,N/A,N/A,FALSE,0,N/A,2024-09-19 7:14
4968,0,F_003-MDWG-000071.C,"WASHER-SPLINED, ALIGNMENT",N/A,N/A,N/A,FALSE,0,N/A,2024-09-19 7:14
4994,2,F_272W6160-106.A,"HOUSING, BEARING COVER",6,2020-12-01,10-Sep,FALSE,0,N/A,2024-09-19 7:14
4997,0,F_982R067999.J,"WASHER, CONTROL FIXTURE",N/A,N/A,N/A,FALSE,0,N/A,2024-09-19 7:14
4998,0,F_01141825-502.03,"PLATE, ROTOR GUIDE",N/A,N/A,N/A,FALSE,0,N/A,2024-09-19 7:14
5115,0,F_01140368-017.07,"SPRING, ROTOR STABILIZER",N/A,N/A,N/A,FALSE,0,N/A,2024-09-19 7:14
5124,0,F_01241861-001.05,"BUSHING, LOWER MOUNT",N/A,N/A,N/A,FALSE,0,N/A,2024-09-19 7:14
5125,0,D_2143M6122-1.AA,"AXLE, MAIN DRIVE",N/A,N/A,N/A,FALSE,0,N/A,2024-09-19 7:14
5126,0,F_01385055-531.03,"PIN, ROTATION",N/A,N/A,N/A,FALSE,0,N/A,2024-09-19 7:14
5138,0,F_B1316-08475.A000,"DISK, ROTOR",N/A,N/A,N/A,TRUE,5,10/29/2021 16:14:54,2024-09-19 7:14
5140,0,F_001-MDWG-000579.D,"SLEEVE, MAIN SPINDLE",N/A,N/A,N/A,TRUE,3,10/29/2021 16:16:36,2024-09-19 7:14
5156,0,F_002-MDWG-000764.B,"BOLT, LOWER MOUNT",N/A,N/A,N/A,FALSE,0,N/A,2024-09-19 7:14
5157,0,F_001-MDWG-000579.D,"SEAL, BEARING N.D.E.",N/A,N/A,N/A,FALSE,0,N/A,2024-09-19 7:14
5161,0,F_002-MDWG-000764.B,"FRAME, MAIN INSPECTION UNIT",N/A,N/A,N/A,TRUE,3,11/10/2020 16:05:06,2024-09-19 7:14
5241,0,F_844233.-,"CLIP, LOCK",N/A,N/A,N/A,TRUE,4,02/18/2021 16:23:43,2024-09-19 7:14
5242,0,F_04P512846-7.A000,"WASHER-SPLINED, DRIVE LINK",N/A,N/A,N/A,FALSE,0,N/A,2024-09-19 7:14
5268,0,F_114L2353-1LP.G,"BRACKET, SUPPORT",N/A,N/A,N/A,TRUE,1,10/19/2020 10:54:13,2024-09-19 7:14
5386,0,F_002-MDWG-000845.A,"ROD, ROTOR",N/A,N/A,N/A,TRUE,12,03/23/2021 10:25:52,2024-09-19 7:14
5403,0,F_001-MDWG-000587.A,"WASHER, FIXTURE",N/A,N/A,N/A,FALSE,0,N/A,2024-09-19 7:14
5404,0,D_161A2118-2.AC,"PANEL, MIDSECTION",N/A,N/A,N/A,TRUE,12,06/08/2021 08:22:25,2024-09-19 7:14
5435,0,F_43721-200.A,OPERATIONS,N/A,N/A,N/A,FALSE,0,N/A,2024-09-19 7:14
5436,0,F_01141825-502.03_RWK,"GROMMET, BUFFER",N/A,N/A,N/A,TRUE,1,04/06/2021 13:27:05,2024-09-19 7:14
5445,0,F_01241861-001.05,"RETAINER, WASHER",N/A,N/A,N/A,FALSE,0,N/A,2024-09-19 7:14
5462,0,F_2144M5231-2.AB,"WASHER-SPLINED, DRIVE LINK",N/A,N/A,N/A,TRUE,7,05/27/2021 07:39:05,2024-09-19 7:14
5495,0,F_006-MDWG-000040.F,"CAP, END STOP",N/A,N/A,N/A,TRUE,1,04/28/2021 11:14:32,2024-09-19 7:14
5520,0,D_161W1308-1.0,"PLUG, END CAP",N/A,N/A,N/A,TRUE,7,04/22/2021 13:32:35,2024-09-19 7:14
5521,0,D_B1316-06035.B000,"PIN, ROTOR SHAFT",N/A,N/A,N/A,TRUE,1,07/28/2021 14:30:14,2024-09-19 7:14
5551,0,D_B1316-06035.B000,"STUD, ROTOR ALIGNMENT",N/A,N/A,N/A,TRUE,2,06/24/2021 09:13:30,2024-09-19 7:14
5601,1,F_003-MDWG-000065.A,"TENSION BUMPER, SIZE 8",1,2021-03-08,08-Feb,FALSE,0,N/A,2024-09-19 7:14
5602,0,F_01385055-526.05_RWK,"WASHER, SUPPORT",N/A,N/A,N/A,FALSE,0,N/A,2024-09-19 7:14
5607,0,F_001-MDWG-000580.B,"DOME, UPPER MACHINING",N/A,N/A,N/A,TRUE,1,03/07/2022 15:37:22,2024-09-19 7:14
5629,0,F_7003036.E,"RING, LOCKING MECHANISM",N/A,N/A,N/A,TRUE,1,07/14/2021 13:37:49,2024-09-19 7:14
5651,0,F_7006527.A,"TUBE, CHAMBER FLOW",N/A,N/A,N/A,TRUE,4,05/10/2021 11:04:06,2024-09-19 7:14
5664,0,F_1720801.A,"WASHER, RETENTION PLATE",N/A,N/A,N/A,FALSE,0,N/A,2024-09-19 7:14
5671,0,F_982R067999.J,"SHAFT, GEAR DRIVE",N/A,N/A,N/A,TRUE,1,08/17/2021 09:22:15,2024-09-19 7:14
5674,0,F_142925+.C,"BEARING, PLATE MOUNT",N/A,N/A,N/A,FALSE,0,N/A,2024-09-19 7:14
5695,0,F_142924+.C,"SHAFT, ROTOR ASSEMBLY",N/A,N/A,N/A,FALSE,0,N/A,2024-09-19 7:14
5716,0,F_C1M5809LA002.A,"PLUG, ROTOR SEAL",N/A,N/A,N/A,TRUE,1,05/07/2021 13:52:45,2024-09-19 7:14
5740,0,F_01763873-001.02,"BEARING, LOWER SPINDLE",N/A,N/A,N/A,TRUE,1,05/17/2021 09:16:52,2024-09-19 7:14
5741,0,F_01385055-531.03,"BRACKET, TORSION LINK",N/A,N/A,N/A,TRUE,1,05/14/2021 07:44:38,2024-09-19 7:14
5766,0,F_04P512839-7.A000,"NUT, BEARING SPACER",N/A,N/A,N/A,FALSE,0,N/A,2024-09-19 7:14
5767,0,F_01600050-005.07,"WASHER-SPLINED, ALIGNMENT",N/A,N/A,N/A,FALSE,0,N/A,2024-09-19 7:14
5777,0,F_219075.C,"HOUSING, BEARING COVER",N/A,N/A,N/A,FALSE,0,N/A,2024-09-19 7:14
5778,0,F_H2164-156.E,"WASHER, CONTROL FIXTURE",N/A,N/A,N/A,FALSE,0,N/A,2024-09-19 7:14
5782,0,F_H2164-157.E,"PLATE, ROTOR GUIDE",N/A,N/A,N/A,FALSE,0,N/A,2024-09-19 7:14
5811,0,F_01385055-526.05,"SPRING, ROTOR STABILIZER",N/A,N/A,N/A,TRUE,1,06/10/2021 15:19:15,2024-09-19 7:14
5812,2,F_ADC73220Y5D2.A,"BUSHING, LOWER MOUNT",3,2021-07-12,18-Dec,FALSE,0,N/A,2024-09-19 7:14
5821,1,F_00555000-004.01,"AXLE, MAIN DRIVE",6,2021-10-10,12-Jul,TRUE,1,08/17/2021 13:16:04,2024-09-19 7:14
5822,2,F_001-MDWG-000582.A,"PIN, ROTATION",1,2021-09-09,13-Aug,FALSE,0,N/A,2024-09-19 7:14
5824,1,F_721Z3394-55.A,"DISK, ROTOR",6,2021-10-18,13/21,TRUE,3,08/04/2021 14:16:14,2024-09-19 7:14
5842,0,F_01385055-526.04_RWK,"SLEEVE, MAIN SPINDLE",N/A,N/A,N/A,FALSE,0,N/A,2024-09-19 7:14
5858,0,F_01385055-526.04,"BOLT, LOWER MOUNT",N/A,N/A,N/A,TRUE,1,08/16/2021 14:30:22,2024-09-19 7:14
5880,0,F_001-MDWG-000583.A,"SEAL, BEARING N.D.E.",N/A,N/A,N/A,TRUE,1,03/18/2022 13:31:17,2024-09-19 7:14
5885,0,F_850242.C,"FRAME, MAIN INSPECTION UNIT",N/A,N/A,N/A,TRUE,1,09/01/2021 09:08:17,2024-09-19 7:14
5886,0,F_219327.B,"CLIP, LOCK",N/A,N/A,N/A,TRUE,2,12/20/2022 13:45:14,2024-09-19 7:14
5895,1,F_11234401-011.01,"WASHER-SPLINED, DRIVE LINK",3,2021-09-19,17-Apr,TRUE,3,09/13/2021 13:32:28,2024-09-19 7:14
5908,0,F_ADC757163D2.-,"BRACKET, SUPPORT",N/A,N/A,N/A,TRUE,1,10/31/2021 21:45:22,2024-09-19 7:14
5919,0,F_725Z1622-9.A,"ROD, ROTOR",N/A,N/A,N/A,FALSE,0,N/A,2024-09-19 7:14
5922,0,F_725Z1622-9.A,"WASHER, FIXTURE",N/A,N/A,N/A,TRUE,1,09/17/2021 13:22:12,2024-09-19 7:14
5930,0,F_01600050-015DEV.02,"PANEL, MIDSECTION",N/A,N/A,N/A,TRUE,1,09/21/2021 11:34:49,2024-09-19 7:14
5950,0,F_01600050-015.02,OPERATIONS,N/A,N/A,N/A,TRUE,1,08/06/2021 10:39:34,2024-09-19 7:14
5972,2,F_01600050-015.02,"GROMMET, BUFFER",10,2023-03-02,15-Nov,FALSE,0,N/A,2024-09-19 7:14
5973,0,F_43721-200.A,"RETAINER, WASHER",N/A,N/A,N/A,FALSE,0,N/A,2024-09-19 7:14
5979,0,F_B1316-06022.C000,"WASHER-SPLINED, DRIVE LINK",N/A,N/A,N/A,FALSE,0,N/A,2024-09-19 7:14
5982,0,F_04P513455-7.A000,"CAP, END STOP",N/A,N/A,N/A,FALSE,0,N/A,2024-09-19 7:14
5983,0,D_B1316-05667.A000,"PLUG, END CAP",N/A,N/A,N/A,FALSE,0,N/A,2024-09-19 7:14
5987,0,F_11234401-011.02,"PIN, ROTOR SHAFT",N/A,N/A,N/A,FALSE,0,N/A,2024-09-19 7:14
5992,0,F_11234402-011.03,"STUD, ROTOR ALIGNMENT",N/A,N/A,N/A,TRUE,1,08/27/2021 13:46:57,2024-09-19 7:14
5993,1,F_11234401-017.01,"TENSION BUMPER, SIZE 9",6,2022-10-30,18-Feb,FALSE,0,N/A,2024-09-19 7:14
6007,0,F_ADC44112D21.E,"WASHER, SUPPORT",N/A,N/A,N/A,TRUE,1,08/26/2021 11:13:05,2024-09-19 7:14
6008,2,F_001-MDWG-000580.B,"DOME, UPPER MACHINING",1,2022-05-29,15-Sep,FALSE,0,N/A,2024-09-19 7:14
6015,0,D_1003M3266C001.AD,"RING, LOCKING MECHANISM",N/A,N/A,N/A,FALSE,0,N/A,2024-09-19 7:14
6025,0,F_7003036.E,"TUBE, CHAMBER FLOW",N/A,N/A,N/A,TRUE,1,09/16/2021 11:28:34,2024-09-19 7:14
6027,0,F_01340361-109.01,"WASHER, RETENTION PLATE",N/A,N/A,N/A,FALSE,0,N/A,2024-09-19 7:14
6028,0,F_08P517835-7.A000,"SHAFT, GEAR DRIVE",N/A,N/A,N/A,TRUE,1,09/01/2021 14:26:15,2024-09-19 7:14
6029,0,F_002-MDWG-000845.A,"BEARING, PLATE MOUNT",N/A,N/A,N/A,TRUE,2,09/14/2022 16:17:22,2024-09-19 7:14
6036,0,D_46865-3.AD,"SHAFT, ROTOR ASSEMBLY",N/A,N/A,N/A,FALSE,0,N/A,2024-09-19 7:14
6041,0,F_Y41590A-00.01,"PLUG, ROTOR SEAL",N/A,N/A,N/A,TRUE,2,11/12/2021 13:41:43,2024-09-19 7:14
6050,0,F_Y41589A-00.01,"BEARING, LOWER SPINDLE",N/A,N/A,N/A,TRUE,3,09/30/2021 12:32:50,2024-09-19 7:14
6068,0,F_43721-200.A,"BRACKET, TORSION LINK",N/A,N/A,N/A,FALSE,0,N/A,2024-09-19 7:14
6072,2,F_AEC757164D1M.A,"NUT, BEARING SPACER",3,2022-04-10,18-Sep,TRUE,3,04/07/2022 14:00:15,2024-09-19 7:14
6073,0,F_Y45973A-00.03,"WASHER-SPLINED, ALIGNMENT",N/A,N/A,N/A,TRUE,1,02/14/2022 16:43:17,2024-09-19 7:14
6080,1,F_01732800-002.02,"HOUSING, BEARING COVER",24,2021-08-26,06-Feb,TRUE,24,04/26/2022 09:00:23,2024-09-19 7:14
6091,0,F_982R067999.J,"WASHER, CONTROL FIXTURE",N/A,N/A,N/A,TRUE,2,10/18/2021 12:13:00,2024-09-19 7:14
